,LAT,LON,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
LaPalmacity,33.84632,-118.04614,1.0,15392.0,3.2,4.17,59.91,31.11,12.16,16.96,29.17,15.75,5.24,15392.0,100.0,54364.0,90.63,0.86,50.34,12.22,3.2,12.34,56959.0,19337.0,21960.0,18848.0,40457.0,15184.0,12119.0,14640.0,904.0,5.89,3.34,11.15,31.52,2.5,74.04,21.68,20.4,7.78,36.65,6.76,31.95,9.45,8.12,3.41,83.33,79.48,88.99,78.35,64.29,69.33,88.0,0.88,4251.0,15.08,18.96,32.35,42.98,4.16,5.24,8.93,11.87,63.94,6.41,6.93,5.92,3.2,3.3,2.91,76.5,8.29,26.48,3.0,120.0,97.57,74.18,1.8502965,15.83,1971.0,0.85,0.12,255600.0,306500.0,360500.0,104900.0,672.0,729.0,881.0,209.0,810.0,27.5,23.0,11.2,179.34319,1.0,27.62,44.28,58.81,71.95,89.85,932.84595,156.34705,-319.7398,171.28569,-112784.195,57965.77,431.37802,204.87785,74.98979,80.55316,3.3520532,2.4233267,1.4857422,6.1504035,-22.982098,6.762602,100.07476,1.9,8169.9,0.67,72.51591,64935584.0,75.48187,1.7909278,6.0745873,145978.81,1.0,6.22,2.0,12.43,16.0,99.45,41.0,254.85,140.0,870.21,378.0,2349.58,128.0,795.62,12.0,74.59,372.95,4090.0
Glenviewvillage,42.07781,-87.822334,1.0,37093.0,2.78,0.77,91.0,7.42,2.42,12.17,21.93,10.55,11.83,37093.0,100.0,59020.0,83.39,0.91,69.37,23.06,1.89,12.69,67412.0,30531.0,31602.0,15439.0,12993.0,20991.0,9963.0,17763.0,628.0,1.71,2.94,7.79,46.21,2.42,67.1,15.42,28.1,4.91,45.2,4.91,25.34,7.87,6.45,3.16,89.47,89.92,96.08,88.02,50.93,61.18,130.0,0.48,4184.0,11.59,15.25,21.25,27.92,1.31,1.72,2.4,3.15,82.66,1.99,3.76,2.97,2.75,2.82,2.31,87.71,1.08,29.18,3.0,415.0,96.98,85.4,0.48,23.86,1963.0,0.54,-0.010814493,172300.0,235600.0,340300.0,168000.0,501.0,694.0,909.0,408.0,777.0,24.2,20.3,12.0,155.76828,-242.48648,11.28,64.88,59.26,88.84,91.02,585.45685,277.27905,-706.2731,217.65749,-128981.88,72917.65,235.52216,343.16452,74.06297,86.36127,1.2082813,0.5924876,-0.28465173,0.7225525,1.7295789,6.9837804,17.191782,12.4,2996.2,9.71,26.38785,50377444.0,82.64805,1.5530639,3.35818,165017.64,1.0,2.65,68.754074,27.28162,4.0,10.61,20.0,53.04,143.0,379.21,733.0,1943.78,31.0,82.21,-54.876926,6.7707987,78.95191,2405.2
Dinubacity,36.543285,-119.38706,1.0,12743.0,3.41,0.24,55.84,3.11,60.37,16.12,29.5,14.75,10.45,171804.16,104.552246,22032.0,73.44,1.42,27.11,29.37,23.93,12.07,24974.0,8354.0,10137.0,3973.0,8386.0,10103.0,5723.0,5915.0,2827.0,22.58,34.36,50.72,8.98,14.95,52.83,8.25,20.32,15.91,15.63,5.95,30.23,10.5,8.21,3.69,72.43,67.29,75.81,81.02,48.17,58.49,424.0,3.93,2966.0,16.62,27.48,36.48,43.66,3.87,6.4,8.49,10.16,47.05,16.08,15.54,12.75,3.31,3.19,3.5,57.06,21.94,52.95,2.0,103.0,97.31,59.28,2.91,35.92,1967.0,6.86,1.07,53400.0,67500.0,86500.0,33100.0,216.0,296.0,369.0,153.0,376.0,30.0,23.2,11.9,-70.8134,44.792217,23.28,54.7,47.28,78.97,90.63,969.688,69.9402,-285.30017,100.533455,16762.04,44058.547,755.9778,203.28906,86.434395,53.638935,7.674785,37.74159,1.5636928,49.206352,1.4598178,7.5915837,119.9431,2.8,4583.8,5.3367496,162.26895,47654824.0,86.93426,1.8468779,6.1264777,36548.586,79.443825,26.567736,3.0,22.02,10.0,73.42,67.0,491.89,195.0,1431.61,409.0,3002.72,73.0,535.94,1.0,7.34,587.33,4977.61
TempleTerracecity,28.035295,-82.38926,1.0,16444.0,2.57,5.38,91.2,1.96,8.65,14.36,28.13,14.18,9.02,16444.0,100.0,37156.0,85.91,0.42,53.81,18.82,1.72,15.61,41982.0,19266.0,20177.0,10521.0,-12351.058,6974.0,11488.0,14543.0,1076.0,6.67,2.42,7.82,39.7,2.92,71.21,8.67,32.9,5.66,40.73,8.04,29.53,14.39,11.42,2.93,74.99,74.49,82.25,75.7,73.71,76.44,139.0,1.34,1228.0,17.67,23.62,29.64,39.33,1.32,1.76,2.21,2.94,86.85,1.44,2.48,1.8,2.52,2.61,2.37,64.96,2.23,45.14,3.0,444.0,93.52,62.75,4.3577356,18.47,1977.0,1.14,0.15,70900.0,100100.0,148400.0,77500.0,396.0,443.0,517.0,121.0,523.0,26.5,21.7,12.9,-423.0629,-138.12297,7.47,33.17,39.88,69.58,78.9,675.64996,164.63239,-133.24713,116.72588,14818.666,49043.88,265.8092,201.7348,81.7537,95.676796,8.371864,0.42656156,0.32238775,7.8144555,-6.6975346,8.145576,13.528808,5.1,3209.2,0.84,168.34512,53572804.0,89.373695,1.0793362,3.7124572,105581.914,2.0,12.05,228.09622,58.108864,24.0,144.54,9.0,54.2,123.0,740.79,424.0,2553.6,86.0,517.95,207.50403,24.520348,210.79,3812.33
Bendcity,44.058174,-121.31531,1.0,20469.0,2.4,0.19,97.51,0.75,2.37,13.98,27.04,12.99,11.76,107134.64,102.99292,25787.0,77.55,0.94,41.14,24.17,5.1,14.84,30776.0,13110.0,13201.0,1589.0,10954.0,9620.0,12017.0,7723.0,2637.0,13.15,3.87,14.69,23.02,4.24,67.33,16.82,21.53,15.58,26.85,13.27,29.85,16.95,15.17,2.92,70.49,69.46,81.12,65.02,66.48,75.54,268.0,1.86,545.0,6.97,10.83,12.29,14.68,0.19,0.29,0.33,0.39,96.14,0.36,3.1,1.98,2.34,2.47,2.18,57.18,2.96,52.32,2.0,478.0,94.69,54.12,1.46,17.99,1969.0,5.47,0.5,53100.0,68800.0,92000.0,38900.0,286.0,369.0,440.0,154.0,442.0,26.7,20.8,15.5,100.0,6.0,2.66,41.64,34.94,66.11,81.15,1048.4229,226.7342,332.3573,191.78787,182856.14,127561.2,731.8471,220.84488,76.88216,98.9206,4.4386005,0.044021957,0.11850282,3.7182562,21.066166,8.918302,93.98651,13.9,1470.9,0.4,295.67902,89024650.0,93.79161,2.381077,7.265336,67206.28,66.97234,14.613218,10.0,41.02,26.0,106.66,86.0,352.79,353.0,1448.09,1865.0,7650.65,81.0,332.28,8.0,32.82,500.47,9463.84
Bernardstownship,40.666935,-74.558044,1.0,17199.0,2.71,1.72,94.97,3.05,1.92,10.1,20.83,8.73,10.59,15616.0,90.8,70000.0,87.4,0.54,71.9,17.4,1.51,13.47,80572.0,33458.0,34046.0,17546.0,20100.0,24908.0,7926.0,31761.0,246.0,1.52,3.34,6.81,54.86,2.86,66.47,14.99,26.07,3.88,51.15,7.68,28.01,8.1,7.89,3.02,91.41,90.17,98.13,89.08,50.05,59.82,28.0,0.27,1259.0,10.88,13.34,22.72,29.23,0.8,0.98,1.66,2.14,89.65,1.0,2.65,1.92,2.54,2.65,2.04,86.58,0.3,36.44,3.0,313.0,95.3,83.23,0.64,28.75,1977.0,0.93,0.23,218600.0,287500.0,388300.0,169700.0,376.0,943.0,1001.0,625.0,999.0,25.1,25.2,12.7,268.9234,-340.3668,7.32,50.87,47.92,56.66,83.18,911.962,319.15616,-673.0283,226.67392,-91350.69,84987.625,233.43202,330.0638,73.14299,87.15988,-0.46132982,0.23306292,0.4566929,-1.5644075,-7.139377,7.303958,26.630949,24.9,691.9,5.87,7.4263344,47653100.0,84.49723,2.615223,2.9729238,146880.42,37.40461,7.000547,73.042725,27.833378,290.5812,98.13991,14.0,75.72,46.0,248.8,170.0,919.47,9.0,48.68,3.4183266,7.38555,75.72,1216.94
Pocatellocity,42.862103,-112.45062,1.0,46080.0,2.68,0.86,94.07,1.27,4.53,16.43,29.57,15.04,9.91,46058.0,100.0,24955.0,78.84,1.08,41.33,25.24,5.4,13.2,31089.0,11385.0,11637.0,9421.0,6017.0,7772.0,7252.0,6816.0,6902.0,15.34,4.83,16.93,22.16,6.09,62.45,12.41,28.36,14.69,27.68,10.25,27.78,12.78,11.55,3.23,76.98,78.33,86.94,78.29,63.73,71.71,446.0,1.23,867.0,21.11,27.22,29.07,39.1,0.4,0.51,0.55,0.74,94.92,0.28,8.44,5.8,2.62,2.85,2.23,69.39,3.05,46.2,3.0,1585.0,91.55,63.96,3.47,43.03,1961.0,4.35,0.39,38700.0,51300.0,69000.0,30300.0,174.0,234.0,297.0,123.0,289.0,24.5,18.3,11.5,19.0,-186.4369,1.88,60.3,47.0,75.38,85.9,253.4174,184.02704,-819.62054,105.506,11209.708,34021.617,239.12785,223.01863,82.886024,92.99689,11.374735,0.91978043,0.337744,12.261749,-3.5052037,9.627974,83.3736,28.6,1610.3,3.05,154.62572,33938188.0,59.323936,1.6098785,4.086661,91133.56,1.0,1.96,34.0,66.73,17.0,33.37,124.0,243.39,349.0,685.01,1640.0,3218.97,90.0,176.65,10.0,19.63,345.45,4100.26
Clearlakecity,38.95823,-122.62637,1.0,11804.0,2.28,4.35,91.05,1.06,5.69,10.89,18.64,8.68,23.42,19115.143,95.53671,16600.0,48.41,0.1,26.22,49.6,22.96,23.99,20998.0,9531.0,9679.0,7842.0,7370.0,9129.0,7763.0,5860.0,2595.0,22.15,10.62,38.79,5.26,12.8,34.84,3.79,21.69,15.05,17.56,16.84,19.44,18.56,17.75,2.8,55.92,50.72,48.36,80.37,51.14,55.79,257.0,2.34,373.0,1.61,8.85,15.28,16.89,0.05,0.28,0.48,0.53,94.94,0.19,4.53,2.86,2.27,2.15,2.49,62.24,6.51,78.1,2.0,2136.0,70.8,65.59,1.31,57.4,1971.0,10.41,0.49,51000.0,68200.0,94600.0,43600.0,251.0,323.0,394.0,143.0,437.0,34.0,25.1,14.6,6.0,25.0,3.16,58.06,40.94,66.21,93.29,416.16638,366.01202,-661.98926,305.19427,-36674.258,165171.75,466.63327,358.49414,72.94849,91.486534,9.326045,1.8484827,-0.2358062,9.682321,3.0720959,10.293914,119.31262,10.7,1101.9,0.57,213.48744,53534900.0,80.79538,0.90665185,3.5127637,193978.17,1.0,7.63,11.0,83.97,18.0,137.4,191.0,1458.02,461.0,3519.08,598.0,4564.89,76.0,580.15,13.0,99.24,1687.02,8763.36
Gulfportcity,30.36742,-89.09282,1.0,40775.0,2.58,28.59,69.89,0.92,1.55,14.11,27.52,13.65,13.11,40775.0,100.0,21174.0,72.02,0.46,30.34,29.44,9.1,19.04,25387.0,11451.0,13571.0,6423.0,18283.0,6592.0,5316.0,7106.0,7877.0,20.32,8.91,25.24,18.29,7.69,54.66,11.03,26.32,14.95,26.8,15.07,30.39,17.42,16.27,3.06,60.68,55.52,70.64,63.74,61.52,67.68,1776.0,5.55,846.0,9.34,15.48,28.13,35.58,0.19,0.32,0.58,0.74,95.62,0.41,5.07,3.36,2.45,2.51,2.37,58.12,4.05,50.37,2.0,2439.0,86.63,56.7,3.24,35.88,1965.0,8.48,0.29,37300.0,52100.0,75200.0,37900.0,204.0,274.0,344.0,140.0,343.0,25.9,21.5,12.4,68.0,1.0,2.07,60.43,50.64,78.82,83.74,354.34225,193.38036,-532.5204,99.94279,104759.17,50821.24,374.07266,227.42216,78.853325,86.406715,18.53771,-1.0575345,0.5696173,19.039715,13.698111,9.39302,63.896957,23.4,1740.1,0.2,252.89691,50457348.0,64.43267,1.2678529,6.6967154,67308.7,4.0,6.03,29.0,43.69,86.0,129.57,143.0,215.45,473.0,712.65,2127.0,3204.66,165.0,248.6,21.0,31.64,394.74,4197.55
Fremontcity,41.35033,-83.121864,1.0,17648.0,2.65,7.73,86.42,0.16,9.5,14.82,27.61,12.85,12.53,15803.172,102.663445,25385.0,75.78,1.32,38.49,30.83,9.69,16.11,30516.0,11267.0,11766.0,8166.0,16970.0,2673.0,7664.0,7666.0,2511.0,14.66,8.68,26.83,10.41,10.08,56.91,35.32,21.3,28.65,18.25,11.48,29.35,14.77,13.26,3.19,65.47,63.43,65.39,69.33,64.27,70.3,475.0,3.22,229.0,5.24,16.59,19.21,20.52,0.07,0.22,0.25,0.27,92.49,1.03,5.84,3.97,2.59,2.66,2.47,62.5,2.27,43.15,3.0,351.0,94.99,60.68,1.99,35.33,1941.0,7.68,0.37,38500.0,48400.0,61500.0,23000.0,198.0,266.0,328.0,130.0,357.0,24.0,15.0,12.3,8.0,-407.37076,1.3,80.84,58.92,87.07,93.57,636.98236,188.95224,-110.10159,132.09882,214492.98,36952.99,335.1076,218.10333,83.66178,86.78773,9.226139,2.076496,0.4463847,12.753296,-0.22299145,12.027983,94.99507,6.4,2753.9,0.53,186.3425,68067340.0,67.635124,1.3229103,2.96395,67960.086,64.96902,16.43633,5.0,27.45,16.0,87.85,41.0,225.13,148.0,812.65,753.0,4134.64,43.0,236.11,7.0,38.44,340.43,5221.83
Midlandcity,43.61558,-84.247215,2.0,37819.0,2.57,1.72,95.56,1.92,1.67,14.51,27.49,14.0,10.54,-83345.914,100.85279,39087.0,79.66,0.55,59.98,23.69,5.61,17.36,49387.0,19347.0,19367.0,20207.0,8298.0,20983.0,13438.0,15115.0,3388.0,9.26,4.43,11.52,42.21,4.97,61.64,38.7,25.58,7.02,43.51,6.31,28.34,10.54,8.53,3.02,82.21,82.29,90.91,81.95,52.51,64.04,302.0,1.01,1680.0,25.83,29.29,38.27,42.38,1.15,1.3,1.7,1.88,94.49,0.4,3.03,2.18,2.49,2.71,1.99,75.19,1.05,36.29,3.0,629.0,95.9,69.0,1.11,24.17,1964.0,2.05,0.08,51700.0,74200.0,111600.0,59900.0,284.0,370.0,451.0,167.0,422.0,25.2,16.8,11.2,17.0,-253.36383,4.44,66.69,49.31,72.29,85.62,483.34433,133.14679,-324.0328,102.566414,-215763.78,42650.5,248.58109,158.66872,83.91941,98.01858,5.2058063,0.43871897,0.30032724,4.887363,-41.339756,10.017435,74.96229,28.2,1341.7,0.29,62.937904,34134684.0,82.99636,1.6815593,5.345048,81581.78,35.241684,10.943549,89.78541,52.384098,10.0,25.13,46.0,115.61,110.0,276.47,945.0,2375.09,32.0,80.43,6.0,15.08,661.77954,2747.06
Laurelcity,31.694052,-89.130615,2.0,18827.0,2.59,48.1,51.62,0.16,0.4,14.29,24.41,11.88,16.39,130984.07,105.255035,16997.0,63.58,0.71,27.96,40.81,15.06,17.19,20873.0,11208.0,16980.0,5021.0,235.0,10085.0,7063.1396,2835.0,5559.0,30.18,14.55,36.81,18.14,9.03,46.67,19.36,28.81,16.96,26.1,11.48,29.67,14.38,13.13,3.19,54.87,46.84,60.02,54.47,56.77,62.6,1779.0,9.97,86.0,25.58,25.58,34.88,34.88,0.12,0.12,0.16,0.16,96.86,0.34,8.25,5.6,2.54,2.5,2.6,59.89,4.89,40.02,3.0,1114.0,86.71,60.85,4.58,55.83,1957.0,12.72,1.16,28200.0,42400.0,64800.0,36600.0,103.0,168.0,250.0,147.0,256.0,27.4,20.2,13.8,5.0,89.984825,0.46,83.02,52.95,88.1,94.0,510.6116,194.17615,-217.12958,85.28648,95810.79,58026.41,313.02966,291.0166,75.078094,69.7455,34.233418,0.42631817,0.64038455,35.235435,22.657238,8.663296,71.218544,15.9,1180.5,4.916625,199.32303,48341132.0,66.62889,2.0908508,8.940964,59225.06,3.0,15.34,15.0,76.69,55.0,281.19,1288.7888,675.3142,448.0,2290.39,1179.0,6027.61,104.0,531.7,8.0,40.9,1535.5446,8890.59
MountVernoncity,40.912598,-73.83708,2.0,67153.0,2.67,55.3,39.76,1.84,7.8,12.81,26.3,12.37,13.13,67153.0,100.0,34850.0,78.36,0.28,34.21,28.42,9.57,15.5,41120.0,15835.0,19012.0,13783.0,16171.0,15398.0,11258.0,11833.0,7823.0,11.8,11.54,29.22,20.41,7.41,60.93,12.13,31.02,11.64,27.42,9.61,37.7,13.81,11.96,3.25,57.46,50.89,67.87,58.68,60.28,70.55,4765.0,9.55,14637.0,13.57,24.01,34.23,44.79,2.96,5.23,7.46,9.76,80.18,4.15,8.48,5.7,2.64,2.98,2.43,41.6,8.62,66.37,2.0,1057.0,95.97,36.76,5.39,41.25,1939.0,5.0,0.54,168200.0,227200.0,291000.0,122800.0,354.0,480.0,626.0,272.0,532.0,24.5,23.6,16.6,112.0,25.67107,21.8,57.98,65.5,86.36,93.34,1224.1709,343.0623,713.00916,195.0768,117189.41,123668.3,388.4031,414.48593,55.935394,85.89404,15.421803,1.8784881,0.45800376,18.248466,51.147823,11.144621,34.098553,4.5,14786.2,25.7,137.7895,96638770.0,88.05474,2.0753095,5.2162523,180182.38,5.0,7.61,31.0,47.15,436.0,663.2,479.0,728.61,961.0,1461.77,1628.0,2476.35,922.0,1402.45,27.0,41.07,1446.56,5381.64
Raytowncity,39.008617,-94.46356,2.0,30601.0,2.41,3.25,95.34,0.51,1.44,11.08,22.59,10.15,16.17,30601.0,100.0,32002.0,75.99,0.66,50.91,32.82,3.48,20.71,37794.0,14914.0,15065.0,13223.0,10858.0,7762.0,13060.0,12058.0,1447.0,4.78,4.62,15.17,18.13,3.91,63.66,14.43,22.84,12.09,26.24,9.7,21.15,13.09,11.53,2.86,76.36,74.31,85.99,78.44,70.11,77.84,307.0,1.26,331.0,5.44,9.37,9.37,9.37,0.06,0.1,0.1,0.1,96.69,0.34,2.46,1.76,2.39,2.51,2.0,79.07,0.8,34.08,3.0,519.0,96.07,75.03,0.39,24.08,1962.0,0.69,0.15,51700.0,63900.0,78500.0,26800.0,289.0,352.0,422.0,133.0,427.0,23.1,17.3,11.4,-1241.8047,-366.11667,1.08,69.21,60.29,88.44,92.55,405.25394,394.0699,-997.10315,216.20775,15731.3545,42233.47,220.0306,408.09894,86.863205,94.198586,8.426072,0.838055,0.08943815,9.968638,-21.86264,7.847672,42.837788,10.3,2981.4,0.96,44.797935,40705188.0,54.63583,1.7321818,3.7015018,183680.02,8.076533,11.740246,6.0,19.87,40.0,132.45,36.0,119.21,241.0,798.01,671.0,2221.85,132.0,437.09,23.0,76.16,271.52,3533.11
Natchitochescity,31.76072,-93.08627,2.0,16609.0,3.11,49.86,48.46,0.67,1.24,25.63,37.21,25.06,11.51,320682.6,106.17993,14509.0,66.06,1.65,24.72,28.39,17.48,14.63,16407.0,7371.0,10918.0,3891.0,15156.0,6203.0,5415.0,6267.0,5616.0,39.79,17.18,32.7,22.05,14.52,46.72,10.92,37.62,13.25,25.35,7.88,47.58,13.5,11.04,3.31,51.34,42.01,45.91,52.0,64.64,70.61,1640.0,12.57,147.0,12.24,20.41,31.97,36.73,0.11,0.18,0.28,0.33,97.09,0.34,8.31,5.66,2.65,2.67,2.63,54.32,5.7,44.54,3.0,756.0,87.59,53.87,5.95,64.68,1967.0,12.03,0.53,33400.0,49800.0,70200.0,36800.0,118.0,207.0,275.0,157.0,305.0,35.1,22.1,15.8,-72.59646,209.95126,0.89,82.59,48.81,75.89,93.04,1130.5706,198.78078,367.85522,131.98915,200101.4,126306.23,401.53394,339.43863,73.14308,65.347145,36.59715,1.7785466,0.63933516,38.849037,43.475185,8.632306,67.014336,10.5,1585.4,7.009824,180.2049,74644920.0,72.58932,1.9474759,9.607791,38888.188,1.0,5.93,8.0,47.43,35.0,207.51,89.0,527.66,309.0,1831.98,727.0,4310.19,56.0,332.01,143.11732,120.74577,788.52,6474.18
Lebanoncity,39.435337,-84.202995,2.0,10453.0,2.62,3.2,95.56,0.72,0.47,12.92,27.69,13.22,11.22,76812.91,100.491035,27095.0,79.84,2.1,39.75,24.81,5.12,16.84,31528.0,12464.0,12614.0,8284.0,12930.0,13034.0,3161.0,2993.0,881.0,8.65,10.83,25.0,16.09,1.93,64.82,17.82,21.1,15.17,24.3,10.67,21.87,15.6,13.33,3.04,74.48,73.3,87.29,74.25,61.07,69.82,76.0,0.94,84.0,13.373801,14.29,23.81,45.24,1.5016258,0.11,0.19,0.36,97.5,0.25,2.96,2.15,2.56,2.7,2.39,57.73,2.3,52.22,2.0,129.0,96.87,54.68,6.5280824,30.23,1965.0,6.96,0.17,57200.0,69800.0,93100.0,35900.0,272.0,333.0,387.0,115.0,410.0,23.5,20.1,11.1,-387.62845,-314.5603,0.8,75.12,42.98,79.58,91.81,608.98596,194.872,119.63423,147.6159,127516.125,81565.164,529.43884,189.20114,83.87622,95.53494,2.4499671,2.9640598,0.53411895,7.24765,1.3466753,10.078068,91.61068,9.6,1087.9,0.14,276.13635,68999280.0,86.238075,2.0137153,4.355082,80366.555,86.21873,15.183158,20.0,170.98,9.0,76.94,17.0,145.34,118.0,1008.81,410.0,3505.17,23.0,196.63,1.0,8.55,393.26,4719.16
Pariscity,33.66094,-95.55551,2.0,24699.0,2.52,22.12,75.92,0.56,1.16,14.38,25.52,13.48,17.32,198088.05,100.31338,18743.0,64.84,1.43,27.22,37.27,12.11,16.49,23486.0,10038.0,11365.0,5690.0,10716.0,5264.0,7088.0,10583.0,6042.0,25.43,15.06,34.74,14.37,8.5,49.81,22.07,27.28,20.96,22.35,11.9,25.73,14.51,13.34,3.03,64.79,58.47,70.02,74.31,59.89,69.1,1071.0,4.92,334.0,34.43,54.19,69.76,78.74,0.47,0.73,0.94,1.06,96.89,0.46,4.31,2.91,2.43,2.37,2.51,57.99,3.71,50.08,2.0,1385.0,87.62,59.31,11.19,50.4,1965.0,11.67,0.73,22900.0,37100.0,58200.0,35300.0,175.0,261.0,325.0,150.0,340.0,29.8,17.1,14.1,7.0,25.758238,1.35,78.5,55.03,82.71,93.72,1133.5697,281.00946,254.38326,200.71378,213154.72,112289.73,424.7616,323.3735,65.82067,88.9811,11.418849,0.26314142,0.26318687,10.932107,13.553918,8.441356,71.28104,28.2,876.6,4.9698586,244.69884,78220824.0,88.87699,2.196111,9.752699,117547.99,3.0,11.99,21.0,83.96,42.0,167.92,380.0,1519.27,552.0,2206.94,1725.0,6896.69,140.0,559.73,14.0,55.97,1783.14,9719.33
Hawthorneborough,40.96166,-74.15336,2.0,17084.0,2.5,0.42,97.93,1.0,3.1,10.14,24.39,11.06,15.73,17084.0,100.0,43109.0,77.8,0.71,58.57,34.1,1.6,17.26,49551.0,19342.0,19284.0,109500.0,40500.0,13815.0,21236.0,24850.0,583.0,3.42,10.55,22.97,22.52,3.95,64.06,18.96,21.16,11.75,32.61,6.24,28.51,8.59,7.51,3.03,83.95,82.79,95.26,78.43,53.38,60.0,49.0,0.41,1837.0,7.46,16.22,19.38,22.54,0.8,1.74,2.08,2.42,83.48,2.28,3.51,2.47,2.5,2.71,2.11,71.08,1.33,46.79,3.0,224.0,96.82,65.67,1.34,42.41,1947.0,0.42,0.3,165200.0,191000.0,236700.0,71500.0,546.0,667.0,778.0,232.0,737.0,26.6,25.2,15.7,65.7044,-99.81378,10.75,71.59,67.82,82.28,93.45,505.64825,198.70062,-19.111355,195.83308,-197916.52,85489.31,350.92157,246.19554,82.42551,96.44061,-3.1782532,0.8599368,-0.47091568,-2.3463027,-20.37499,8.344036,16.034893,3.5,4854.5,3.69,26.686075,50203228.0,87.66637,0.2501975,4.6955543,125867.79,35.86463,5.1010184,5.0,27.52,5.0,27.52,4.0,22.01,84.0,462.3,282.0,1552.01,23.0,126.58,-51.378754,14.122375,77.05,2140.89
DeSotocity,32.5897,-96.85707,2.0,30544.0,2.84,20.83,75.97,1.13,4.98,15.06,26.4,12.05,5.88,30615.0,100.0,45550.0,91.28,1.34,41.93,12.28,2.48,10.73,50913.0,18093.0,18964.0,14642.0,17155.0,28987.0,10362.0,12879.0,1202.0,3.98,3.23,12.0,29.36,4.11,75.58,13.27,22.08,8.28,34.96,8.29,22.49,12.61,10.56,3.17,80.68,79.11,90.15,84.32,73.79,80.39,352.0,1.81,877.0,5.59,10.6,14.94,29.76,0.16,0.3,0.43,0.85,94.0,0.64,3.71,3.03,2.81,2.99,2.4,73.81,2.82,28.21,3.0,896.0,92.31,69.36,0.22,32.48,1981.0,2.61,0.27,79800.0,95700.0,123900.0,44100.0,360.0,428.0,534.0,174.0,497.0,23.5,23.2,12.9,-850.7904,-88.393745,2.86,67.07,42.2,78.78,90.04,295.8058,228.43307,-798.6985,138.68771,-120315.31,40113.676,147.81627,289.07144,87.16304,93.66905,14.277665,-0.7400005,0.4325161,15.22869,-21.261538,6.1336694,1.4857818,22.4,1365.5,0.78,101.206795,40192610.0,72.61589,1.5263314,4.6384306,108761.87,56.95891,13.910697,9.0,25.31,33.0,92.8,56.0,157.48,411.0,1155.76,1100.0,3093.28,162.0,455.56,9.0,25.31,275.58,4729.9
